NO,Nilai,Kurs Jual,Kurs Beli,Tanggal
1,1,20468.34,20263.04,4/30/2024 12:00:00 AM
2,1,20391.93,20184.18,4/29/2024 12:00:00 AM
3,1,20377.59,20163.54,4/26/2024 12:00:00 AM
4,1,20195.07,19986.07,4/25/2024 12:00:00 AM
5,1,20181.24,19973.96,4/24/2024 12:00:00 AM
6,1,20174.32,19967.13,4/23/2024 12:00:00 AM
7,1,20366.67,20162.4,4/22/2024 12:00:00 AM
8,1,20276.84,20068.63,4/19/2024 12:00:00 AM
9,1,20334.58,20120.94,4/18/2024 12:00:00 AM
10,1,20226.81,20014.28,4/17/2024 12:00:00 AM
11,1,20144.64,19937.89,4/16/2024 12:00:00 AM
12,1,20246.94,20034.41,4/5/2024 12:00:00 AM
13,1,20112.08,19905.64,4/4/2024 12:00:00 AM
14,1,20101.96,19897.18,4/3/2024 12:00:00 AM
15,1,20177.55,19975.18,4/2/2024 12:00:00 AM
16,1,20122.31,19915.78,4/1/2024 12:00:00 AM
17,1,20127.22,19915.92,3/28/2024 12:00:00 AM
18,1,20081.54,19873.85,3/27/2024 12:00:00 AM
19,1,20001.21,19795.9,3/26/2024 12:00:00 AM
20,1,19984.44,19774.62,3/25/2024 12:00:00 AM
21,1,20130.28,19919.07,3/22/2024 12:00:00 AM
22,1,20098.45,19887.5,3/21/2024 12:00:00 AM
23,1,20054.01,19846.65,3/20/2024 12:00:00 AM
24,1,20070.68,19863.18,3/19/2024 12:00:00 AM
25,1,20007.64,19807.01,3/18/2024 12:00:00 AM
26,1,20057.21,19846.79,3/15/2024 12:00:00 AM
27,1,20021.31,19815.9,3/14/2024 12:00:00 AM
28,1,20079.53,19878.2,3/13/2024 12:00:00 AM
29,1,20046.46,19836.09,3/8/2024 12:00:00 AM
30,1,20090.17,19884.02,3/7/2024 12:00:00 AM
31,1,20084.83,19878.71,3/6/2024 12:00:00 AM
32,1,20036.44,19835.52,3/5/2024 12:00:00 AM
33,1,19927.9,19723.37,3/4/2024 12:00:00 AM
34,1,19989.93,19784.76,3/1/2024 12:00:00 AM
35,1,19942.8,19738.14,2/29/2024 12:00:00 AM
36,1,19967.09,19757.52,2/28/2024 12:00:00 AM
37,1,19921.16,19716.73,2/27/2024 12:00:00 AM
38,1,19857.85,19649.41,2/26/2024 12:00:00 AM
39,1,19914.79,19705.75,2/23/2024 12:00:00 AM
40,1,19876.51,19667.83,2/22/2024 12:00:00 AM
41,1,19819.56,19614.54,2/21/2024 12:00:00 AM
42,1,19831.54,19627.99,2/20/2024 12:00:00 AM
43,1,19811.65,19608.29,2/19/2024 12:00:00 AM
44,1,19677.18,19472.07,2/16/2024 12:00:00 AM
45,1,19819.86,19616.46,2/15/2024 12:00:00 AM
46,1,19843.22,19639.56,2/13/2024 12:00:00 AM
47,1,19909.2,19704.87,2/12/2024 12:00:00 AM
48,1,19859.13,19656.83,2/7/2024 12:00:00 AM
49,1,19918.8,19712.8,2/6/2024 12:00:00 AM
50,1,20113.25,19906.87,2/5/2024 12:00:00 AM
51,1,20066.26,19865.02,2/2/2024 12:00:00 AM
52,1,20135.21,19933.3,2/1/2024 12:00:00 AM
53,1,20162.81,19951.19,1/31/2024 12:00:00 AM
54,1,20218.92,20009.86,1/30/2024 12:00:00 AM
55,1,20177.9,19975.53,1/29/2024 12:00:00 AM
56,1,20182.83,19975.75,1/26/2024 12:00:00 AM
57,1,20078.74,19877.4,1/25/2024 12:00:00 AM
58,1,20053.34,19846.02,1/24/2024 12:00:00 AM
59,1,19959.66,19753.27,1/23/2024 12:00:00 AM
60,1,19918.53,19718.78,1/22/2024 12:00:00 AM
61,1,19947.78,19743.07,1/19/2024 12:00:00 AM
62,1,19890.1,19690.65,1/18/2024 12:00:00 AM
63,1,19856.97,19653.19,1/17/2024 12:00:00 AM
64,1,19931.78,19727.28,1/16/2024 12:00:00 AM
65,1,19950.99,19746.27,1/15/2024 12:00:00 AM
66,1,19954.4,19745.01,1/12/2024 12:00:00 AM
67,1,19873.35,19669.41,1/11/2024 12:00:00 AM
68,1,19878.14,19674.17,1/10/2024 12:00:00 AM
69,1,19825.54,19622.1,1/9/2024 12:00:00 AM
70,1,19770.53,19567.63,1/8/2024 12:00:00 AM
71,1,19793.5,19595,1/5/2024 12:00:00 AM
72,1,19689.84,19487.75,1/4/2024 12:00:00 AM
73,1,19806.49,19603.27,1/3/2024 12:00:00 AM
74,1,19787.8,19578.63,1/2/2024 12:00:00 AM
75,1,19862.13,19658.36,12/29/2023 12:00:00 AM
76,1,19712.39,19510.11,12/28/2023 12:00:00 AM
77,1,19764.71,19557.27,12/27/2023 12:00:00 AM
78,1,19739.69,19537.08,12/22/2023 12:00:00 AM
79,1,19737.94,19530.74,12/21/2023 12:00:00 AM
80,1,19744.33,19537.07,12/20/2023 12:00:00 AM
81,1,19797.61,19591.35,12/19/2023 12:00:00 AM
82,1,19899.43,19699.89,12/18/2023 12:00:00 AM
83,1,19659.28,19457.48,12/15/2023 12:00:00 AM
84,1,19671.63,19471.22,12/14/2023 12:00:00 AM
85,1,19732.28,19529.7,12/13/2023 12:00:00 AM
86,1,19685.7,19483.61,12/12/2023 12:00:00 AM
87,1,19579.36,19378.37,12/11/2023 12:00:00 AM
88,1,19645.13,19448.11,12/8/2023 12:00:00 AM
89,1,19640.51,19443.54,12/7/2023 12:00:00 AM
90,1,19659.2,19457.42,12/6/2023 12:00:00 AM
91,1,19666.38,19464.55,12/5/2023 12:00:00 AM
92,1,19717.33,19514.96,12/4/2023 12:00:00 AM
93,1,19759.89,19561.73,12/1/2023 12:00:00 AM
94,1,19640.01,19443.05,11/30/2023 12:00:00 AM
95,1,19596.94,19391.19,11/29/2023 12:00:00 AM
96,1,19686.81,19489.37,11/28/2023 12:00:00 AM
97,1,19634.42,19432.86,11/27/2023 12:00:00 AM
98,1,19618.49,19417.06,11/24/2023 12:00:00 AM
99,1,19625.95,19419.81,11/23/2023 12:00:00 AM
100,1,19427.16,19227.71,11/22/2023 12:00:00 AM
101,1,19339.12,19140.57,11/21/2023 12:00:00 AM
102,1,19297.71,19099.52,11/20/2023 12:00:00 AM
103,1,19407.85,19203.86,11/17/2023 12:00:00 AM
104,1,19433.57,19235.59,11/16/2023 12:00:00 AM
105,1,19404.75,19200.72,11/15/2023 12:00:00 AM
106,1,19320.99,19122.47,11/14/2023 12:00:00 AM
107,1,19285.35,19085.64,11/13/2023 12:00:00 AM
108,1,19320.93,19117.77,11/10/2023 12:00:00 AM
109,1,19283.67,19085.56,11/9/2023 12:00:00 AM
110,1,19309.77,19108.31,11/8/2023 12:00:00 AM
111,1,19348.72,19150,11/7/2023 12:00:00 AM
112,1,19339.99,19136.58,11/6/2023 12:00:00 AM
113,1,19400.95,19200,11/3/2023 12:00:00 AM
114,1,19482.48,19282.28,11/2/2023 12:00:00 AM
115,1,19421.02,19219.86,11/1/2023 12:00:00 AM
116,1,19353.05,19154.15,10/31/2023 12:00:00 AM
117,1,19418.69,19219.14,10/30/2023 12:00:00 AM
118,1,19359.32,19160.33,10/27/2023 12:00:00 AM
119,1,19374.89,19175.8,10/26/2023 12:00:00 AM
120,1,19562.23,19362.86,10/25/2023 12:00:00 AM
121,1,19499.65,19297.68,10/24/2023 12:00:00 AM
122,1,19286.47,19088.25,10/23/2023 12:00:00 AM
123,1,19291.63,19093.37,10/20/2023 12:00:00 AM
124,1,19275.14,19077.07,10/19/2023 12:00:00 AM
125,1,19230.77,19033.16,10/18/2023 12:00:00 AM
126,1,19231.48,19038.56,10/17/2023 12:00:00 AM
127,1,19284.49,19086.34,10/16/2023 12:00:00 AM
128,1,19405.29,19205.96,10/13/2023 12:00:00 AM
129,1,19382.02,19181.35,10/12/2023 12:00:00 AM
130,1,19306.94,19108.58,10/11/2023 12:00:00 AM
131,1,19171.86,18974.86,10/10/2023 12:00:00 AM
132,1,19172.49,18977.05,10/9/2023 12:00:00 AM
133,1,19026.47,18830.95,10/6/2023 12:00:00 AM
134,1,18992.16,18798.51,10/5/2023 12:00:00 AM
135,1,18948.43,18755.23,10/4/2023 12:00:00 AM
136,1,19023.16,18827.71,10/3/2023 12:00:00 AM
137,1,19053.98,18856.69,10/2/2023 12:00:00 AM
138,1,18958.41,18763.59,9/29/2023 12:00:00 AM
139,1,18915.34,18722.51,9/27/2023 12:00:00 AM
140,1,18948.81,18754.13,9/26/2023 12:00:00 AM
141,1,18967.78,18771.38,9/25/2023 12:00:00 AM
142,1,19054.67,18858.93,9/22/2023 12:00:00 AM
143,1,19126.15,18934.31,9/21/2023 12:00:00 AM
144,1,19150.8,18954.12,9/20/2023 12:00:00 AM
145,1,19126.93,18930.5,9/19/2023 12:00:00 AM
146,1,19210.58,19013.33,9/18/2023 12:00:00 AM
147,1,19279.88,19083.47,9/15/2023 12:00:00 AM
148,1,19261.54,19063.78,9/14/2023 12:00:00 AM
149,1,19246.6,19053.57,9/13/2023 12:00:00 AM
150,1,19324.52,19130.71,9/12/2023 12:00:00 AM
151,1,19265.96,19072.74,9/11/2023 12:00:00 AM
152,1,19214.02,19018.26,9/8/2023 12:00:00 AM
153,1,19309.41,19115.76,9/7/2023 12:00:00 AM
154,1,19266.99,19069.21,9/6/2023 12:00:00 AM
155,1,19348.66,19150.05,9/5/2023 12:00:00 AM
156,1,19440.83,19241.32,9/4/2023 12:00:00 AM
157,1,19472.24,19270.92,9/1/2023 12:00:00 AM
158,1,19355.34,19156.69,8/31/2023 12:00:00 AM
159,1,19350.55,19156.48,8/30/2023 12:00:00 AM
160,1,19337.59,19139.09,8/29/2023 12:00:00 AM
161,1,19332.16,19132.18,8/28/2023 12:00:00 AM
162,1,19477.36,19279.01,8/25/2023 12:00:00 AM
163,1,19595.51,19394.44,8/24/2023 12:00:00 AM
164,1,19715.37,19513.09,8/23/2023 12:00:00 AM
165,1,19609.85,19408.62,8/22/2023 12:00:00 AM
166,1,19567.6,19366.8,8/21/2023 12:00:00 AM
167,1,19599.9,19403.36,8/18/2023 12:00:00 AM
168,1,19566.82,19370.6,8/16/2023 12:00:00 AM
169,1,19551.34,19350.72,8/15/2023 12:00:00 AM
170,1,19443.15,19240.59,8/14/2023 12:00:00 AM
171,1,19478.97,19279.1,8/11/2023 12:00:00 AM
172,1,19515.15,19314.92,8/10/2023 12:00:00 AM
173,1,19524.78,19324.43,8/9/2023 12:00:00 AM
174,1,19439.56,19237.07,8/8/2023 12:00:00 AM
175,1,19368.82,19170.06,8/7/2023 12:00:00 AM
176,1,19385.75,19186.81,8/4/2023 12:00:00 AM
177,1,19505.3,19305.19,8/3/2023 12:00:00 AM
178,1,19470.81,19275.58,8/2/2023 12:00:00 AM
179,1,19496.25,19296.25,8/1/2023 12:00:00 AM
180,1,19372.46,19173.68,7/31/2023 12:00:00 AM
181,1,19575.78,19375.04,7/28/2023 12:00:00 AM
182,1,19498.81,19303.3,7/27/2023 12:00:00 AM
183,1,19381.92,19183.1,7/26/2023 12:00:00 AM
184,1,19404.51,19205.45,7/25/2023 12:00:00 AM
185,1,19442.7,19243.26,7/24/2023 12:00:00 AM
186,1,19454.66,19255.13,7/21/2023 12:00:00 AM
187,1,19714.73,19517.08,7/20/2023 12:00:00 AM
188,1,19758.97,19556.4,7/18/2023 12:00:00 AM
189,1,19704.38,19502.36,7/17/2023 12:00:00 AM
190,1,19615.42,19414.28,7/14/2023 12:00:00 AM
191,1,19616.29,19416.6,7/13/2023 12:00:00 AM
192,1,19618.68,19417.44,7/12/2023 12:00:00 AM
193,1,19567.42,19365.16,7/11/2023 12:00:00 AM
194,1,19364.47,19165.76,7/10/2023 12:00:00 AM
195,1,19269.8,19070.56,7/7/2023 12:00:00 AM
196,1,19172.41,18975.65,7/6/2023 12:00:00 AM
197,1,19166.71,18970.02,7/5/2023 12:00:00 AM
198,1,19146.34,18948.35,7/4/2023 12:00:00 AM
199,1,19198.01,19001.02,7/3/2023 12:00:00 AM
200,1,19241.86,19041.43,6/27/2023 12:00:00 AM
201,1,19162.29,18965.65,6/26/2023 12:00:00 AM
202,1,19147.04,18955.03,6/23/2023 12:00:00 AM
203,1,19179.49,18982.69,6/22/2023 12:00:00 AM
204,1,19351.99,19151.95,6/21/2023 12:00:00 AM
205,1,19315.41,19117.25,6/20/2023 12:00:00 AM
206,1,19204.23,19007.18,6/19/2023 12:00:00 AM
207,1,19006.43,18814.32,6/16/2023 12:00:00 AM
208,1,18889.99,18696.09,6/15/2023 12:00:00 AM
209,1,18773.56,18580.84,6/14/2023 12:00:00 AM
210,1,18820,18631.25,6/13/2023 12:00:00 AM
211,1,18732.22,18544.36,6/12/2023 12:00:00 AM
212,1,18660.48,18473.33,6/9/2023 12:00:00 AM
213,1,18556.67,18367.58,6/8/2023 12:00:00 AM
214,1,18546.04,18360.04,6/7/2023 12:00:00 AM
215,1,18550.43,18359.93,6/6/2023 12:00:00 AM
216,1,18639.44,18452.49,6/5/2023 12:00:00 AM
217,1,18594.19,18403.22,5/31/2023 12:00:00 AM
218,1,18576.58,18388.77,5/30/2023 12:00:00 AM
219,1,18568.25,18381.99,5/29/2023 12:00:00 AM
220,1,18570.07,18379.34,5/26/2023 12:00:00 AM
221,1,18589.58,18400.18,5/25/2023 12:00:00 AM
222,1,18551.43,18365.36,5/24/2023 12:00:00 AM
223,1,18617.05,18425.86,5/23/2023 12:00:00 AM
224,1,18620.75,18429.52,5/22/2023 12:00:00 AM
225,1,18580.58,18389.78,5/19/2023 12:00:00 AM
226,1,18633.34,18442.04,5/17/2023 12:00:00 AM
227,1,18580.78,18394.42,5/16/2023 12:00:00 AM
228,1,18561.85,18375.69,5/15/2023 12:00:00 AM
229,1,18605.48,18414.49,5/12/2023 12:00:00 AM
230,1,18699.54,18512,5/11/2023 12:00:00 AM
231,1,18692.72,18503.79,5/10/2023 12:00:00 AM
232,1,18688.1,18500.67,5/9/2023 12:00:00 AM
233,1,18599.38,18408.47,5/8/2023 12:00:00 AM
234,1,18485.86,18296.09,5/5/2023 12:00:00 AM
235,1,18496.58,18308.15,5/4/2023 12:00:00 AM
236,1,18447,18257.6,5/3/2023 12:00:00 AM
237,1,18403.15,18215.65,5/2/2023 12:00:00 AM
