NO,Nilai,Kurs Jual,Kurs Beli,Tanggal
1,100,10498.39,10391.92,4/30/2024 12:00:00 AM
2,100,10429.32,10323.56,4/29/2024 12:00:00 AM
3,100,10467.86,10360.38,4/26/2024 12:00:00 AM
4,100,10485.35,10379,4/25/2024 12:00:00 AM
5,100,10544.65,10437.7,4/24/2024 12:00:00 AM
6,100,10543.24,10436.31,4/23/2024 12:00:00 AM
7,100,10593.33,10485.89,4/22/2024 12:00:00 AM
8,100,10538.59,10431.7,4/19/2024 12:00:00 AM
9,100,10556.37,10449.3,4/18/2024 12:00:00 AM
10,100,10529.75,10422.95,4/17/2024 12:00:00 AM
11,100,10540.74,10433.8,4/16/2024 12:00:00 AM
12,100,10538.95,10432.03,4/5/2024 12:00:00 AM
13,100,10550.24,10444.58,4/4/2024 12:00:00 AM
14,100,10560.32,10451.8,4/3/2024 12:00:00 AM
15,100,10564.66,10457.46,4/2/2024 12:00:00 AM
16,100,10534.48,10427.6,4/1/2024 12:00:00 AM
17,100,10503.17,10397.98,3/28/2024 12:00:00 AM
18,100,10491.67,10385.21,3/27/2024 12:00:00 AM
19,100,10491.03,10385.95,3/26/2024 12:00:00 AM
20,100,10468.8,10363.96,3/25/2024 12:00:00 AM
21,100,10408.88,10301.9,3/22/2024 12:00:00 AM
22,100,10434.14,10329.63,3/21/2024 12:00:00 AM
23,100,10506.73,10401.49,3/20/2024 12:00:00 AM
24,100,10562.91,10454.3,3/19/2024 12:00:00 AM
25,100,10566.7,10460.86,3/18/2024 12:00:00 AM
26,100,10593.19,10487.07,3/15/2024 12:00:00 AM
27,100,10602.74,10495.1,3/14/2024 12:00:00 AM
28,100,10606.03,10498.37,3/13/2024 12:00:00 AM
29,100,10634.78,10528.25,3/8/2024 12:00:00 AM
30,100,10563.28,10457.48,3/7/2024 12:00:00 AM
31,100,10529.84,10422.99,3/6/2024 12:00:00 AM
32,100,10511.98,10406.7,3/5/2024 12:00:00 AM
33,100,10479.99,10375.02,3/4/2024 12:00:00 AM
34,100,10555.79,10448.66,3/1/2024 12:00:00 AM
35,100,10448.66,10344.02,2/29/2024 12:00:00 AM
36,100,10465.13,10360.31,2/28/2024 12:00:00 AM
37,100,10442.03,10337.45,2/27/2024 12:00:00 AM
38,100,10407.16,10302.93,2/26/2024 12:00:00 AM
39,100,10462.34,10356.16,2/23/2024 12:00:00 AM
40,100,10481.78,10374.02,2/22/2024 12:00:00 AM
41,100,10466.41,10360.2,2/21/2024 12:00:00 AM
42,100,10474.89,10368.59,2/20/2024 12:00:00 AM
43,100,10471.43,10365.16,2/19/2024 12:00:00 AM
44,100,10442.1,10337.51,2/16/2024 12:00:00 AM
45,100,10469.17,10364.31,2/15/2024 12:00:00 AM
46,100,10523.18,10417.77,2/13/2024 12:00:00 AM
47,100,10661.77,10553.54,2/12/2024 12:00:00 AM
48,100,10646.83,10540.18,2/7/2024 12:00:00 AM
49,100,10628.63,10520.76,2/6/2024 12:00:00 AM
50,100,10754.73,10645.54,2/5/2024 12:00:00 AM
51,100,10801.12,10692.92,2/2/2024 12:00:00 AM
52,100,10759.44,10651.67,2/1/2024 12:00:00 AM
53,100,10776.58,10668.63,1/31/2024 12:00:00 AM
54,100,10762.76,10654.95,1/30/2024 12:00:00 AM
55,100,10766.94,10656.19,1/29/2024 12:00:00 AM
56,100,10730.57,10621.65,1/26/2024 12:00:00 AM
57,100,10692.83,10585.73,1/25/2024 12:00:00 AM
58,100,10659.36,10551.15,1/24/2024 12:00:00 AM
59,100,10607.28,10501.02,1/23/2024 12:00:00 AM
60,100,10593.65,10484.7,1/22/2024 12:00:00 AM
61,100,10625.82,10519.38,1/19/2024 12:00:00 AM
62,100,10635.53,10527.58,1/18/2024 12:00:00 AM
63,100,10719.63,10610.79,1/17/2024 12:00:00 AM
64,100,10748.6,10640.93,1/16/2024 12:00:00 AM
65,100,10772.86,10664.92,1/15/2024 12:00:00 AM
66,100,10753.64,10644.44,1/12/2024 12:00:00 AM
67,100,10795.45,10685.82,1/11/2024 12:00:00 AM
68,100,10825.76,10715.81,1/10/2024 12:00:00 AM
69,100,10803.05,10693.34,1/9/2024 12:00:00 AM
70,100,10756.32,10647.09,1/8/2024 12:00:00 AM
71,100,10878.98,10769.98,1/5/2024 12:00:00 AM
72,100,10931.89,10822.35,1/4/2024 12:00:00 AM
73,100,10987.32,10875.7,1/3/2024 12:00:00 AM
74,100,10976.37,10864.85,1/2/2024 12:00:00 AM
75,100,11010.65,10898.76,12/29/2023 12:00:00 AM
76,100,10858.73,10748.43,12/28/2023 12:00:00 AM
77,100,10939.94,10830.33,12/27/2023 12:00:00 AM
78,100,10896.74,10787.55,12/22/2023 12:00:00 AM
79,100,10857.75,10748.97,12/21/2023 12:00:00 AM
80,100,10804.64,10696.39,12/20/2023 12:00:00 AM
81,100,10954.39,10844.63,12/19/2023 12:00:00 AM
82,100,10977.6,10867.61,12/18/2023 12:00:00 AM
83,100,10969.75,10858.3,12/15/2023 12:00:00 AM
84,100,10775.3,10665.88,12/14/2023 12:00:00 AM
85,100,10797.42,10687.77,12/13/2023 12:00:00 AM
86,100,10718.63,10611.25,12/12/2023 12:00:00 AM
87,100,10816.96,10708.58,12/11/2023 12:00:00 AM
88,100,10722.21,10614.79,12/8/2023 12:00:00 AM
89,100,10606.17,10498.49,12/7/2023 12:00:00 AM
90,100,10614.11,10506.35,12/6/2023 12:00:00 AM
91,100,10559.3,10452.1,12/5/2023 12:00:00 AM
92,100,10523.86,10417.04,12/4/2023 12:00:00 AM
93,100,10582.4,10476.39,12/1/2023 12:00:00 AM
94,100,10494.79,10389.66,11/30/2023 12:00:00 AM
95,100,10456.76,10352.02,11/29/2023 12:00:00 AM
96,100,10470.1,10365.22,11/28/2023 12:00:00 AM
97,100,10484.53,10378.13,11/27/2023 12:00:00 AM
98,100,10501.92,10396.72,11/24/2023 12:00:00 AM
99,100,10514.88,10409.56,11/23/2023 12:00:00 AM
100,100,10513.13,10407.82,11/22/2023 12:00:00 AM
101,100,10406.35,10302.12,11/21/2023 12:00:00 AM
102,100,10357.99,10252.88,11/20/2023 12:00:00 AM
103,100,10354.09,10249.02,11/17/2023 12:00:00 AM
104,100,10342.88,10237.93,11/16/2023 12:00:00 AM
105,100,10404.58,10300.36,11/15/2023 12:00:00 AM
106,100,10407.68,10303.43,11/14/2023 12:00:00 AM
107,100,10417.78,10313.43,11/13/2023 12:00:00 AM
108,100,10422.99,10318.59,11/10/2023 12:00:00 AM
109,100,10426.25,10321.82,11/9/2023 12:00:00 AM
110,100,10415.37,10311.05,11/8/2023 12:00:00 AM
111,100,10440.77,10334.81,11/7/2023 12:00:00 AM
112,100,10543.37,10437.77,11/6/2023 12:00:00 AM
113,100,10599.32,10490.35,11/3/2023 12:00:00 AM
114,100,10589.22,10483.16,11/2/2023 12:00:00 AM
115,100,10629.03,10522.56,11/1/2023 12:00:00 AM
116,100,10698.67,10591.51,10/31/2023 12:00:00 AM
117,100,10669.09,10562.23,10/30/2023 12:00:00 AM
118,100,10643.18,10536.57,10/27/2023 12:00:00 AM
119,100,10642.08,10534.09,10/26/2023 12:00:00 AM
120,100,10670.64,10563.77,10/25/2023 12:00:00 AM
121,100,10688.23,10581.16,10/24/2023 12:00:00 AM
122,100,10626.35,10519.92,10/23/2023 12:00:00 AM
123,100,10626.34,10518.5,10/20/2023 12:00:00 AM
124,100,10558.78,10451.62,10/19/2023 12:00:00 AM
125,100,10558.51,10451.36,10/18/2023 12:00:00 AM
126,100,10559.99,10454.22,10/17/2023 12:00:00 AM
127,100,10550.35,10443.28,10/16/2023 12:00:00 AM
128,100,10579.59,10472.21,10/13/2023 12:00:00 AM
129,100,10611.3,10505.01,10/12/2023 12:00:00 AM
130,100,10596.42,10490.27,10/11/2023 12:00:00 AM
131,100,10561.4,10454.91,10/10/2023 12:00:00 AM
132,100,10549.53,10443.16,10/9/2023 12:00:00 AM
133,100,10518.58,10411.83,10/6/2023 12:00:00 AM
134,100,10557.77,10451.31,10/5/2023 12:00:00 AM
135,100,10468.05,10363.2,10/4/2023 12:00:00 AM
136,100,10417.17,10312.15,10/3/2023 12:00:00 AM
137,100,10462.08,10354.5,10/2/2023 12:00:00 AM
138,100,10472.94,10366.64,9/29/2023 12:00:00 AM
139,100,10443.03,10335.65,9/27/2023 12:00:00 AM
140,100,10424.36,10318.54,9/26/2023 12:00:00 AM
141,100,10426.87,10321.72,9/25/2023 12:00:00 AM
142,100,10437.77,10333.21,9/22/2023 12:00:00 AM
143,100,10447.66,10342.3,9/21/2023 12:00:00 AM
144,100,10472.13,10364.41,9/20/2023 12:00:00 AM
145,100,10459.59,10352.02,9/19/2023 12:00:00 AM
146,100,10453.38,10348.68,9/18/2023 12:00:00 AM
147,100,10479.92,10374.95,9/15/2023 12:00:00 AM
148,100,10486.75,10380.29,9/14/2023 12:00:00 AM
149,100,10503.15,10396.51,9/13/2023 12:00:00 AM
150,100,10554.63,10448.9,9/12/2023 12:00:00 AM
151,100,10461.19,10355.7,9/11/2023 12:00:00 AM
152,100,10452.16,10347.46,9/8/2023 12:00:00 AM
153,100,10440.13,10334.15,9/7/2023 12:00:00 AM
154,100,10437.83,10331.86,9/6/2023 12:00:00 AM
155,100,10468.12,10361.83,9/5/2023 12:00:00 AM
156,100,10542.86,10435.8,9/4/2023 12:00:00 AM
157,100,10499.27,10391.95,9/1/2023 12:00:00 AM
158,100,10462.62,10357.82,8/31/2023 12:00:00 AM
159,100,10474.82,10369.87,8/30/2023 12:00:00 AM
160,100,10491.79,10385.27,8/29/2023 12:00:00 AM
161,100,10529.07,10423.58,8/28/2023 12:00:00 AM
162,100,10547.9,10440.8,8/25/2023 12:00:00 AM
163,100,10589.17,10481.65,8/24/2023 12:00:00 AM
164,100,10568.57,10461.25,8/23/2023 12:00:00 AM
165,100,10593.17,10485.6,8/22/2023 12:00:00 AM
166,100,10591.04,10483.49,8/21/2023 12:00:00 AM
167,100,10582.29,10476.28,8/18/2023 12:00:00 AM
168,100,10575.83,10469.88,8/16/2023 12:00:00 AM
169,100,10635.09,10527.09,8/15/2023 12:00:00 AM
170,100,10581.69,10474.23,8/14/2023 12:00:00 AM
171,100,10625.88,10519.42,8/11/2023 12:00:00 AM
172,100,10665.85,10558.99,8/10/2023 12:00:00 AM
173,100,10693.93,10585.3,8/9/2023 12:00:00 AM
174,100,10733.11,10625.56,8/8/2023 12:00:00 AM
175,100,10687.68,10579.11,8/7/2023 12:00:00 AM
176,100,10688.59,10581.49,8/4/2023 12:00:00 AM
177,100,10691.29,10584.17,8/3/2023 12:00:00 AM
178,100,10644.28,10536.16,8/2/2023 12:00:00 AM
179,100,10669.29,10560.9,8/1/2023 12:00:00 AM
180,100,10845.26,10736.57,7/31/2023 12:00:00 AM
181,100,10773.85,10665.9,7/28/2023 12:00:00 AM
182,100,10740.96,10631.82,7/27/2023 12:00:00 AM
183,100,10667.73,10559.35,7/26/2023 12:00:00 AM
184,100,10675.11,10566.65,7/25/2023 12:00:00 AM
185,100,10685.01,10577.95,7/24/2023 12:00:00 AM
186,100,10792.23,10682.55,7/21/2023 12:00:00 AM
187,100,10900.59,10791.34,7/20/2023 12:00:00 AM
188,100,10877.77,10768.77,7/18/2023 12:00:00 AM
189,100,10868.11,10756.07,7/17/2023 12:00:00 AM
190,100,10881.08,10772.03,7/14/2023 12:00:00 AM
191,100,10861.52,10749.59,7/13/2023 12:00:00 AM
192,100,10846.19,10734.45,7/12/2023 12:00:00 AM
193,100,10727.91,10617.43,7/11/2023 12:00:00 AM
194,100,10620.46,10511.11,7/10/2023 12:00:00 AM
195,100,10521.52,10414.66,7/7/2023 12:00:00 AM
196,100,10453.15,10346.98,7/6/2023 12:00:00 AM
197,100,10447.21,10342.55,7/5/2023 12:00:00 AM
198,100,10435.23,10327.83,7/4/2023 12:00:00 AM
199,100,10502.3,10395.63,7/3/2023 12:00:00 AM
200,100,10545.48,10438.36,6/27/2023 12:00:00 AM
201,100,10542.76,10437.13,6/26/2023 12:00:00 AM
202,100,10570.07,10461.21,6/23/2023 12:00:00 AM
203,100,10596,10486.87,6/22/2023 12:00:00 AM
204,100,10663.28,10553.46,6/21/2023 12:00:00 AM
205,100,10627.67,10519.69,6/20/2023 12:00:00 AM
206,100,10640.22,10532.1,6/19/2023 12:00:00 AM
207,100,10630.51,10522.49,6/16/2023 12:00:00 AM
208,100,10694.78,10587.6,6/15/2023 12:00:00 AM
209,100,10710.59,10602.49,6/14/2023 12:00:00 AM
210,100,10717.21,10608.29,6/13/2023 12:00:00 AM
211,100,10694.41,10585.73,6/12/2023 12:00:00 AM
212,100,10718.89,10609.97,6/9/2023 12:00:00 AM
