NO,Nilai,Kurs Jual,Kurs Beli,Tanggal
1,1,16330.25,16167.75,4/30/2024 12:00:00 AM
2,1,16303.11,16140.89,4/29/2024 12:00:00 AM
3,1,16289.04,16126.96,4/26/2024 12:00:00 AM
4,1,16241.81,16080.19,4/25/2024 12:00:00 AM
5,1,16325.22,16162.78,4/24/2024 12:00:00 AM
6,1,16305.12,16142.88,4/23/2024 12:00:00 AM
7,1,16361.4,16198.6,4/22/2024 12:00:00 AM
8,1,16257.89,16096.11,4/19/2024 12:00:00 AM
9,1,16321.2,16158.8,4/18/2024 12:00:00 AM
10,1,16256.88,16095.12,4/17/2024 12:00:00 AM
11,1,15952.36,15793.64,4/16/2024 12:00:00 AM
12,1,15986.53,15827.47,4/5/2024 12:00:00 AM
13,1,16002.61,15843.39,4/4/2024 12:00:00 AM
14,1,16013.67,15854.33,4/3/2024 12:00:00 AM
15,1,15988.55,15829.45,4/2/2024 12:00:00 AM
16,1,15952.36,15793.64,4/1/2024 12:00:00 AM
17,1,15932.26,15773.74,3/28/2024 12:00:00 AM
18,1,15875.99,15718.01,3/27/2024 12:00:00 AM
19,1,15873.98,15716.02,3/26/2024 12:00:00 AM
20,1,15851.86,15694.14,3/25/2024 12:00:00 AM
21,1,15740.31,15583.69,3/22/2024 12:00:00 AM
22,1,15805.64,15648.36,3/21/2024 12:00:00 AM
23,1,15790.56,15633.44,3/20/2024 12:00:00 AM
24,1,15750.36,15593.64,3/19/2024 12:00:00 AM
25,1,15702.12,15545.88,3/18/2024 12:00:00 AM
26,1,15659.91,15504.09,3/15/2024 12:00:00 AM
27,1,15653.88,15498.12,3/14/2024 12:00:00 AM
28,1,15681.01,15524.99,3/13/2024 12:00:00 AM
29,1,15736.29,15579.71,3/8/2024 12:00:00 AM
30,1,15801.61,15644.39,3/7/2024 12:00:00 AM
31,1,15834.78,15677.22,3/6/2024 12:00:00 AM
32,1,15801.61,15644.39,3/5/2024 12:00:00 AM
33,1,15774.48,15617.52,3/4/2024 12:00:00 AM
34,1,15793.58,15636.42,3/1/2024 12:00:00 AM
35,1,15751.36,15594.64,2/29/2024 12:00:00 AM
36,1,15733.27,15576.73,2/28/2024 12:00:00 AM
37,1,15713.17,15556.83,2/27/2024 12:00:00 AM
38,1,15666.94,15511.06,2/26/2024 12:00:00 AM
39,1,15708.15,15551.85,2/23/2024 12:00:00 AM
40,1,15736.29,15579.71,2/22/2024 12:00:00 AM
41,1,15737.3,15580.7,2/21/2024 12:00:00 AM
42,1,15708.15,15551.85,2/20/2024 12:00:00 AM
43,1,15732.27,15575.73,2/19/2024 12:00:00 AM
44,1,15684.03,15527.97,2/16/2024 12:00:00 AM
45,1,15662.92,15507.08,2/15/2024 12:00:00 AM
46,1,15690.06,15533.94,2/13/2024 12:00:00 AM
47,1,15763.42,15606.58,2/12/2024 12:00:00 AM
48,1,15812.67,15655.33,2/7/2024 12:00:00 AM
49,1,15783.52,15626.48,2/6/2024 12:00:00 AM
50,1,15766.44,15609.56,2/5/2024 12:00:00 AM
51,1,15853.88,15696.13,2/2/2024 12:00:00 AM
52,1,15882.01,15723.99,2/1/2024 12:00:00 AM
53,1,15874.98,15717.02,1/31/2024 12:00:00 AM
54,1,15904.13,15745.88,1/30/2024 12:00:00 AM
55,1,15908.15,15749.85,1/29/2024 12:00:00 AM
56,1,15845.83,15688.17,1/26/2024 12:00:00 AM
57,1,15797.59,15640.41,1/25/2024 12:00:00 AM
58,1,15734.28,15577.72,1/24/2024 12:00:00 AM
59,1,15705.14,15548.86,1/23/2024 12:00:00 AM
60,1,15706.14,15549.86,1/22/2024 12:00:00 AM
61,1,15708.15,15551.85,1/19/2024 12:00:00 AM
62,1,15717.19,15560.81,1/18/2024 12:00:00 AM
63,1,15669.96,15514.04,1/17/2024 12:00:00 AM
64,1,15632.77,15477.23,1/16/2024 12:00:00 AM
65,1,15636.8,15481.2,1/15/2024 12:00:00 AM
66,1,15635.79,15480.21,1/12/2024 12:00:00 AM
67,1,15645.84,15490.16,1/11/2024 12:00:00 AM
68,1,15595.59,15440.41,1/10/2024 12:00:00 AM
69,1,15599.61,15444.39,1/9/2024 12:00:00 AM
70,1,15595.59,15440.41,1/8/2024 12:00:00 AM
71,1,15602.63,15447.38,1/5/2024 12:00:00 AM
72,1,15572.48,15417.52,1/4/2024 12:00:00 AM
73,1,15550.36,15395.64,1/3/2024 12:00:00 AM
74,1,15516.19,15361.81,1/2/2024 12:00:00 AM
75,1,15493.08,15338.92,12/29/2023 12:00:00 AM
76,1,15491.07,15336.93,12/28/2023 12:00:00 AM
77,1,15566.44,15411.56,12/27/2023 12:00:00 AM
78,1,15610.67,15455.33,12/22/2023 12:00:00 AM
79,1,15589.56,15434.44,12/21/2023 12:00:00 AM
80,1,15583.53,15428.47,12/20/2023 12:00:00 AM
81,1,15593.58,15438.42,12/19/2023 12:00:00 AM
82,1,15580.51,15425.49,12/18/2023 12:00:00 AM
83,1,15570.47,15415.53,12/15/2023 12:00:00 AM
84,1,15707.15,15550.85,12/14/2023 12:00:00 AM
85,1,15709.16,15552.84,12/13/2023 12:00:00 AM
86,1,15692.07,15535.93,12/12/2023 12:00:00 AM
87,1,15577.5,15422.5,12/11/2023 12:00:00 AM
88,1,15613.68,15458.32,12/8/2023 12:00:00 AM
89,1,15581.52,15426.48,12/7/2023 12:00:00 AM
90,1,15581.52,15426.48,12/6/2023 12:00:00 AM
91,1,15523.23,15368.77,12/5/2023 12:00:00 AM
92,1,15601.62,15446.38,12/4/2023 12:00:00 AM
93,1,15561.42,15406.58,12/1/2023 12:00:00 AM
94,1,15460.92,15307.08,11/30/2023 12:00:00 AM
95,1,15527.25,15372.75,11/29/2023 12:00:00 AM
96,1,15604.64,15449.36,11/28/2023 12:00:00 AM
97,1,15664.93,15509.07,11/27/2023 12:00:00 AM
98,1,15670.97,15515.03,11/24/2023 12:00:00 AM
99,1,15661.92,15506.08,11/23/2023 12:00:00 AM
100,1,15513.18,15358.82,11/22/2023 12:00:00 AM
101,1,15496.09,15341.91,11/21/2023 12:00:00 AM
102,1,15581.52,15426.48,11/20/2023 12:00:00 AM
103,1,15672.98,15517.02,11/17/2023 12:00:00 AM
104,1,15580.51,15425.49,11/16/2023 12:00:00 AM
105,1,15777.5,15620.5,11/15/2023 12:00:00 AM
106,1,15791.57,15634.43,11/14/2023 12:00:00 AM
107,1,15771.47,15614.53,11/13/2023 12:00:00 AM
108,1,15727.25,15570.75,11/10/2023 12:00:00 AM
109,1,15707.15,15550.85,11/9/2023 12:00:00 AM
110,1,15670.97,15515.03,11/8/2023 12:00:00 AM
111,1,15627.75,15472.25,11/7/2023 12:00:00 AM
112,1,15849.85,15692.15,11/6/2023 12:00:00 AM
113,1,15940.31,15781.69,11/3/2023 12:00:00 AM
114,1,16025.73,15866.27,11/2/2023 12:00:00 AM
115,1,15976.49,15817.51,11/1/2023 12:00:00 AM
116,1,15995.58,15836.42,10/31/2023 12:00:00 AM
117,1,16020.7,15861.3,10/30/2023 12:00:00 AM
118,1,16012.67,15853.33,10/27/2023 12:00:00 AM
119,1,15950.35,15791.65,10/26/2023 12:00:00 AM
120,1,15948.34,15789.66,10/25/2023 12:00:00 AM
121,1,16022.72,15863.28,10/24/2023 12:00:00 AM
122,1,15935.28,15776.72,10/23/2023 12:00:00 AM
123,1,15917.19,15758.81,10/20/2023 12:00:00 AM
124,1,15809.66,15652.34,10/19/2023 12:00:00 AM
125,1,15796.59,15639.41,10/18/2023 12:00:00 AM
126,1,15794.58,15637.42,10/17/2023 12:00:00 AM
127,1,15787.55,15630.45,10/16/2023 12:00:00 AM
128,1,15780.51,15623.49,10/13/2023 12:00:00 AM
129,1,15788.55,15631.45,10/12/2023 12:00:00 AM
130,1,15786.54,15629.46,10/11/2023 12:00:00 AM
131,1,15753.38,15596.63,10/10/2023 12:00:00 AM
132,1,15706.14,15549.86,10/9/2023 12:00:00 AM
133,1,15679,15523,10/6/2023 12:00:00 AM
134,1,15714.18,15557.82,10/5/2023 12:00:00 AM
135,1,15678,15522,10/4/2023 12:00:00 AM
136,1,15596.59,15441.41,10/3/2023 12:00:00 AM
137,1,15564.43,15409.57,10/2/2023 12:00:00 AM
